id,name_en,group,resolved_file,match_method,grade,has_case_report
255,AlphaLipoicAcid,สมุนไพร/เสริมอาหาร,AlphaLipoicAcid.nxml,exact,E,no
256,Arecacatechu,สมุนไพร/เสริมอาหาร,Arecacatechu.nxml,exact,-,no
257,ArnicaMontana,สมุนไพร/เสริมอาหาร,ArnicaMontana.nxml,exact,E,no
258,Arsenic,สมุนไพร/เสริมอาหาร,Arsenic.nxml,exact,-,yes
259,Ashwagandha,สมุนไพร/เสริมอาหาร,Ashwagandha.nxml,exact,B,no
260,Astragalus,สมุนไพร/เสริมอาหาร,Astragalus.nxml,exact,E,no
261,Bacopa,สมุนไพร/เสริมอาหาร,Bacopa.nxml,exact,E,no
262,Berberine,สมุนไพร/เสริมอาหาร,Berberine.nxml,exact,E,no
263,Betaine,สมุนไพร/เสริมอาหาร,Betaine.nxml,exact,E,no
264,Bilberry,สมุนไพร/เสริมอาหาร,Bilberry.nxml,exact,E,no
265,Bismuth,สมุนไพร/เสริมอาหาร,Bismuth.nxml,exact,E,no
266,BitterMelon,สมุนไพร/เสริมอาหาร,BitterMelon.nxml,exact,E,no
267,BlackCumin,สมุนไพร/เสริมอาหาร,BlackCumin.nxml,exact,E,no
268,Boswellia,สมุนไพร/เสริมอาหาร,Boswellia.nxml,exact,E,no
269,Bromelain,สมุนไพร/เสริมอาหาร,Bromelain.nxml,exact,E,no
270,Buchu,สมุนไพร/เสริมอาหาร,Buchu.nxml,exact,D,yes
271,Butterbur,สมุนไพร/เสริมอาหาร,Butterbur.nxml,exact,C,no
272,Cannabidiol,สมุนไพร/เสริมอาหาร,Cannabidiol.nxml,exact,E*,no
273,Cascara,สมุนไพร/เสริมอาหาร,Cascara.nxml,exact,-,no
274,CatsClaw,สมุนไพร/เสริมอาหาร,CatsClaw.nxml,exact,E,no
275,Celandine,สมุนไพร/เสริมอาหาร,Celandine.nxml,exact,-,yes
276,Chamomile,สมุนไพร/เสริมอาหาร,Chamomile.nxml,exact,E,no
277,Chaparral,สมุนไพร/เสริมอาหาร,Chaparral.nxml,exact,B,yes
278,ChasteTree,สมุนไพร/เสริมอาหาร,ChasteTree.nxml,exact,E,no
279,Cocaine,สมุนไพร/เสริมอาหาร,Cocaine.nxml,exact,-,yes
280,Comfrey,สมุนไพร/เสริมอาหาร,Comfrey.nxml,exact,C,no
281,Copper,สมุนไพร/เสริมอาหาร,Copper.nxml,exact,-,no
282,CoQ10,สมุนไพร/เสริมอาหาร,CoQ10.nxml,exact,E,no
283,Cordyceps,สมุนไพร/เสริมอาหาร,Cordyceps.nxml,exact,E,no
284,Cranberry,สมุนไพร/เสริมอาหาร,Cranberry.nxml,exact,E,no
285,Dihydromyricetin,สมุนไพร/เสริมอาหาร,Dihydromyricetin.nxml,exact,E,no
286,Dragonsbld,สมุนไพร/เสริมอาหาร,Dragonsbld.nxml,exact,E,no
287,Echinacea,สมุนไพร/เสริมอาหาร,Echinacea.nxml,exact,D,no
288,Ephedra,สมุนไพร/เสริมอาหาร,Ephedra.nxml,exact,-,yes
289,Eugenol,สมุนไพร/เสริมอาหาร,Eugenol.nxml,exact,-,no
290,Fenugreek,สมุนไพร/เสริมอาหาร,Fenugreek.nxml,exact,E,no
291,Flavocoxid,สมุนไพร/เสริมอาหาร,Flavocoxid.nxml,exact,C,yes
292,GarciniaCambogia,สมุนไพร/เสริมอาหาร,GarciniaCambogia.nxml,exact,B,yes
293,Germander,สมุนไพร/เสริมอาหาร,Germander.nxml,exact,A,no
294,Ginkgo,สมุนไพร/เสริมอาหาร,Ginkgo.nxml,exact,E,no
295,Ginseng,สมุนไพร/เสริมอาหาร,Ginseng.nxml,exact,E,no
296,Glucosamine,สมุนไพร/เสริมอาหาร,Glucosamine.nxml,exact,D,yes
297,GrapeSeed,สมุนไพร/เสริมอาหาร,GrapeSeed.nxml,exact,E,no
298,Guarana,สมุนไพร/เสริมอาหาร,Guarana.nxml,exact,E,no
299,Gymnema,สมุนไพร/เสริมอาหาร,Gymnema.nxml,exact,D,yes
300,Hawthorn,สมุนไพร/เสริมอาหาร,Hawthorn.nxml,exact,E,no
301,Herbalife,สมุนไพร/เสริมอาหาร,Herbalife.nxml,exact,A,yes
302,Heroin/Opium,สมุนไพร/เสริมอาหาร,HerionOpium.nxml,fuzzy,-,no
303,Hoodia,สมุนไพร/เสริมอาหาร,Hoodia.nxml,exact,E,no
304,Hops,สมุนไพร/เสริมอาหาร,Hops.nxml,exact,E,no
305,HornyGoatWeed,สมุนไพร/เสริมอาหาร,HornyGoatWeed.nxml,exact,E,no
306,HorseChestnut,สมุนไพร/เสริมอาหาร,HorseChestnut.nxml,exact,D,no
307,Horsetail,สมุนไพร/เสริมอาหาร,Horsetail.nxml,exact,C,yes
308,Hyssop,สมุนไพร/เสริมอาหาร,Hyssop.nxml,exact,E,no
309,Iron,สมุนไพร/เสริมอาหาร,Iron.nxml,exact,-,yes
310,JinBuHuan,สมุนไพร/เสริมอาหาร,JinBuHuan.nxml,exact,-,yes
311,KavaKava,สมุนไพร/เสริมอาหาร,KavaKava.nxml,exact,A,no
312,Kelp,สมุนไพร/เสริมอาหาร,Kelp.nxml,exact,-,no
313,Khat,สมุนไพร/เสริมอาหาร,Khat.nxml,exact,B,yes
314,Kratom,สมุนไพร/เสริมอาหาร,Kratom.nxml,exact,-,no
315,L-Glutamine,สมุนไพร/เสริมอาหาร,L-Glutamine.nxml,exact,E,no
316,Lavender,สมุนไพร/เสริมอาหาร,Lavender.nxml,exact,E,no
317,LemonBalm,สมุนไพร/เสริมอาหาร,LemonBalm.nxml,exact,E,no
318,Licorice,สมุนไพร/เสริมอาหาร,Licorice.nxml,exact,E,no
319,Lingzhi,สมุนไพร/เสริมอาหาร,Lingzhi.nxml,exact,D,no
320,LionsMane,สมุนไพร/เสริมอาหาร,LionsMane.nxml,exact,E,no
321,Maca,สมุนไพร/เสริมอาหาร,Maca.nxml,exact,E,no
322,MargosaOil,สมุนไพร/เสริมอาหาร,MargosaOil.nxml,exact,C,no
323,Marijuana,สมุนไพร/เสริมอาหาร,Marijuana.nxml,exact,E,no
324,Melatonin,สมุนไพร/เสริมอาหาร,Melatonin.nxml,exact,E,no
325,MilkThistle,สมุนไพร/เสริมอาหาร,MilkThistle.nxml,exact,E,no
326,Mistletoe,สมุนไพร/เสริมอาหาร,Mistletoe.nxml,exact,E,yes
327,Moringa,สมุนไพร/เสริมอาหาร,Moringa.nxml,exact,D,yes
328,Niacin,สมุนไพร/เสริมอาหาร,Niacin.nxml,exact,-,yes
329,Nicotine,สมุนไพร/เสริมอาหาร,Nicotine.nxml,exact,E,no
330,Noni,สมุนไพร/เสริมอาหาร,Noni.nxml,exact,C,no
331,NuxVomica,สมุนไพร/เสริมอาหาร,NuxVomica.nxml,exact,E,no
332,Omega3FattyAcids,สมุนไพร/เสริมอาหาร,Omega3FattyAcids.nxml,exact,E,no
333,Oregano,สมุนไพร/เสริมอาหาร,Oregano.nxml,exact,E,no
334,Passionflower,สมุนไพร/เสริมอาหาร,Passionflower.nxml,exact,E,no
335,Pennyroyal,สมุนไพร/เสริมอาหาร,Pennyroyal.nxml,exact,B,yes
336,PineBark,สมุนไพร/เสริมอาหาร,PineBark.nxml,exact,E,no
337,Quercetin,สมุนไพร/เสริมอาหาร,Quercetin.nxml,exact,E,no
338,RedYeastRice,สมุนไพร/เสริมอาหาร,RedYeastRice.nxml,exact,C,yes
339,Resveratrol,สมุนไพร/เสริมอาหาร,Resveratrol.nxml,exact,E,no
340,royaljelly,สมุนไพร/เสริมอาหาร,royaljelly.nxml,exact,E,no
341,SawPalmetto,สมุนไพร/เสริมอาหาร,SawPalmetto.nxml,exact,D,no
342,ShouWuPian,สมุนไพร/เสริมอาหาร,ShouWuPian.nxml,exact,A,yes
343,Skullcap,สมุนไพร/เสริมอาหาร,Skullcap.nxml,exact,B,yes
344,SlipperyElm,สมุนไพร/เสริมอาหาร,SlipperyElm.nxml,exact,E,no
345,Spirulina,สมุนไพร/เสริมอาหาร,Spirulina.nxml,exact,D,no
346,StingingNettle,สมุนไพร/เสริมอาหาร,StingingNettle.nxml,exact,E,no
347,StJohnsWort,สมุนไพร/เสริมอาหาร,StJohnsWort.nxml,exact,E,no
348,Tinospora,สมุนไพร/เสริมอาหาร,Tinospora.nxml,exact,A,yes
349,TongkatAli,สมุนไพร/เสริมอาหาร,TongkatAli.nxml,exact,D,yes
350,Tribulus,สมุนไพร/เสริมอาหาร,Tribulus.nxml,exact,E*,yes
351,UsnicAcid,สมุนไพร/เสริมอาหาร,UsnicAcid.nxml,exact,-,yes
352,UvaUrsi,สมุนไพร/เสริมอาหาร,UvaUrsi.nxml,exact,E,no
353,Valerian,สมุนไพร/เสริมอาหาร,Valerian.nxml,exact,C,yes
354,YerbaMate,สมุนไพร/เสริมอาหาร,YerbaMate.nxml,exact,D,no
355,Yohimbine,สมุนไพร/เสริมอาหาร,Yohimbine.nxml,exact,E,no
356,Zinc,สมุนไพร/เสริมอาหาร,Zinc.nxml,exact,E,no
357,Abatacept,ยาชีวภาพ,Abatacept.nxml,exact,C,yes
358,Alemtuzumab,ยาชีวภาพ,Alemtuzumab.nxml,exact,B,no
359,Alirocumab,ยาชีวภาพ,Alirocumab.nxml,exact,E,no
360,Interferon Alfa / Peginterferon Alfa,ยาชีวภาพ,Alpha_Peginterferon.nxml,manual_override,A,no
361,AntithymocyteGlobuli,ยาชีวภาพ,AntithymocyteGlobuli.nxml,exact,E*,no
362,Atezolizumab,ยาชีวภาพ,Atezolizumab.nxml,exact,B,no
363,Belimumab,ยาชีวภาพ,Belimumab.nxml,exact,E,no
364,Benralizumab,ยาชีวภาพ,Benralizumab.nxml,exact,E,no
365,Blinatumomab,ยาชีวภาพ,Blinatumomab.nxml,exact,E*,no
366,Brentuximab vedotin,ยาชีวภาพ,Brentuximab_vedotin.nxml,exact,B,no
367,Canakinumab,ยาชีวภาพ,Canakinumab.nxml,exact,E*,no
368,Cemiplimab,ยาชีวภาพ,Cemiplimab.nxml,exact,C,no
369,Certolizumab,ยาชีวภาพ,Certolizumab.nxml,exact,D,no
370,Cetuximab,ยาชีวภาพ,Cetuximab.nxml,exact,E,no
371,Daratumumab,ยาชีวภาพ,Daratumumab.nxml,exact,E,no
372,Defibrotide,ยาชีวภาพ,Defibrotide.nxml,exact,E,no
373,Degarelix,ยาชีวภาพ,Degarelix.nxml,exact,E,no
374,Denosumab,ยาชีวภาพ,Denosumab.nxml,exact,E*,no
375,Desirudin,ยาชีวภาพ,Desirudin.nxml,exact,E,no
376,Dinutuximab,ยาชีวภาพ,Dinutuximab.nxml,exact,E*,no
